symbol,entry_time,exit_time,entry_price,exit_price,quantity,corporate_action_cash,pnl_pct,exit_reason
AMD,2021-11-05,2021-12-10,139.259595,141.219355,1.0,0.0,0.012046591450689315,Supertrend down
NVDA,2021-10-19,2021-12-14,222.87138,276.85150500000003,164.0,6.5600000000000005,0.2399004088358958,Supertrend down
INTU,2021-11-24,2021-12-17,661.83075,621.0893,6.0,0.0,-0.0634337217820985,Supertrend down
DLTR,2022-03-23,2022-05-02,156.57825,162.91850000000002,131.0,0.0,0.03841362712566121,Supertrend down
PANW,2022-03-23,2022-05-02,588.9837447,557.9802703,70.0,0.0,-0.054531759804788194,Supertrend down
EXC,2022-03-23,2022-05-02,43.64180999999999,46.846565,5.0,0.0,0.07128841515808992,Supertrend down
DLTR,2022-07-21,2022-07-27,172.8864,157.78107000000003,116.0,0.0,-0.08919485218679346,Supertrend down
AMGN,2022-07-21,2022-08-30,245.86287,239.76006,83.0,161.01999999999998,-0.018887720381931206,Supertrend down
VRTX,2022-07-21,2022-09-07,285.93289500000003,279.750055,70.0,0.0,-0.02357819364865732,Supertrend down
AEP,2022-07-27,2022-09-21,94.877415,100.38978,193.0,150.54,0.06419870101015945,Supertrend down
BIIB,2022-11-14,2022-11-23,300.260055,306.8465,61.0,0.0,0.019893971843574443,Leader rotation
CEG,2022-11-14,2022-12-23,92.04599999999999,87.47624,219.0,0.0,-0.051545289336828004,Supertrend down
ENPH,2022-11-23,2022-12-28,319.08946499999996,272.02392000000003,58.0,0.0,-0.1492028241536092,Supertrend down
GILD,2023-01-17,2023-01-23,86.093025,82.71862000000002,1.0,0.0,-0.04111456146455461,Supertrend down
PDD,2022-11-14,2023-02-22,67.623795,85.207375,302.0,0.0,0.2575030800106015,Supertrend down
NFLX,2023-01-17,2023-02-24,331.24553999999995,319.14035,106.0,0.0,-0.03846944794167795,Supertrend down
GILD,2023-02-14,2023-02-27,87.63379499999999,81.11942,1.0,0.0,-0.07618581122997958,Supertrend down
DXCM,2023-03-03,2023-03-13,120.59026499999999,106.216865,1.0,0.0,-0.12095189863370381,Supertrend down
GFS,2023-03-22,2023-04-03,69.044505,71.98399,2.0,0.0,0.04049070732212279,Leader rotation
GFS,2023-04-10,2023-04-11,66.035001,68.14591000000001,2.0,0.0,0.029904646108271704,Leader rotation
MELI,2023-02-22,2023-04-18,1105.222335,1319.9397,23.0,0.0,0.19188910332884102,Leader rotation
GILD,2023-04-18,2023-05-01,83.78186999999998,82.428765,3.0,0.0,-0.018116065410843873,Supertrend down
DXCM,2023-05-01,2023-05-26,121.40066999999999,114.26284,2.0,0.0,-0.06067616745951532,Supertrend down
NFLX,2023-04-18,2023-07-24,335.16749999999996,424.7875,90.0,0.0,0.2648564485705618,Supertrend down
NVDA,2023-02-24,2023-08-10,232.36612499999998,421.3892000000001,146.0,11.68,0.8101914967871664,Supertrend down
AVGO,2023-07-24,2023-08-10,901.2503999999999,852.69344,42.0,0.0,-0.055767679211907395,Supertrend down
META,2023-05-26,2023-08-18,253.056465,278.890485,1.0,0.0,0.09988599285043476,Supertrend down
CMCSA,2023-08-31,2023-09-06,47.143559999999994,44.45776,1.0,0.0,-0.05885484026464449,Supertrend down
NVDA,2023-08-30,2023-09-21,490.68521999999996,415.622085,199.0,7.96,-0.15458706646245346,Supertrend down
TTD,2023-09-13,2023-09-21,85.792875,77.211375,1.0,0.0,-0.10182393912686194,Supertrend down
PANW,2023-09-21,2023-09-22,231.745815,228.43572500000002,36.0,0.0,-0.016252742406437815,Supertrend down
TSLA,2023-09-21,2023-09-28,257.978925,239.89999000000003,16.0,0.0,-0.07193709974309181,Supertrend down
CPRT,2023-09-07,2023-10-04,45.352664999999995,42.808585,1.0,0.0,-0.05798141384550681,Supertrend down
NVDA,2023-10-12,2023-10-19,468.00398505,427.89594500000004,175.0,0.0,-0.08752698334111508,Supertrend down
PANW,2023-10-19,2023-10-23,263.63175,241.08939500000002,28.0,0.0,-0.08733413973433402,Supertrend down
META,2023-10-12,2023-10-26,328.164,294.8525,1.0,0.0,-0.10330388428991544,Supertrend down
SGEN,2023-10-23,2023-11-16,216.698295,212.48370500000001,258.0,0.0,-0.021408257352153348,Supertrend down
ADBE,2023-11-06,2023-11-29,566.283,625.6270300000001,6.0,0.0,0.10258832764546355,Leader rotation
NVDA,2023-11-16,2023-12-05,487.033395,454.43267000000003,112.0,4.48,-0.06871956355817699,Supertrend down
ZS,2023-11-29,2024-01-08,197.368635,213.17336,20.0,0.0,0.07791919015298054,Supertrend down
