symbol,entry_time,exit_time,entry_price,exit_price,quantity,corporate_action_cash,pnl_pct,exit_reason,stop_level,stop_trigger
NVDA,2023-08-30,2023-09-18,490.68521999999996,427.26626000000005,451.0,18.04,-0.1309040423129081,Intraday protective stop,433.3473722883003,gap_open
CRWD,2023-09-19,2023-10-26,167.03347499999998,170.99622337664968,1153.0,0.0,0.02167887353533393,Intraday protective stop,171.08176425877906,intraday
CEG,2023-11-06,2023-11-15,119.049495,126.51671,1283.0,0.0,0.0606002936899428,Leader rotation,,
NVDA,2023-11-15,2023-12-04,499.599675,457.71435555036766,412.0,0.0,-0.08566825758350638,Intraday protective stop,457.9433272139746,intraday
ZS,2023-12-05,2023-12-12,196.26808499999999,206.8965,712.0,0.0,0.052046339472973324,Leader rotation,,
PDD,2023-12-12,2024-01-17,143.27159999999998,137.26133500000003,1020.0,0.0,-0.043864334743091704,Intraday protective stop,138.82836319659424,gap_open
CRWD,2024-01-19,2024-02-21,285.1425,282.888485,664.0,0.0,-0.009887080173042295,Intraday protective stop,299.55376306828606,gap_open
META,2024-02-22,2024-03-01,480.48012,491.86394500000006,302.0,0.0,0.021647263689380303,Leader rotation,,
AMD,2024-03-01,2024-03-07,198.008955,212.41374000000002,735.0,0.0,0.07060479624811422,Leader rotation,,
NVDA,2024-03-07,2024-04-09,902.0308900499999,832.9571685738534,222.0,0.0,-0.07842078618758386,Intraday protective stop,833.3738555016042,intraday
CRWD,2024-04-10,2024-04-18,306.142995,290.169534219716,605.0,0.0,-0.05407022326091204,Intraday protective stop,290.3146915654987,intraday
NVDA,2024-05-07,2024-06-24,91.143549,118.8150842935022,1920.0,19.2,0.3011088862436224,Intraday protective stop,118.87452155427933,intraday
ARM,2024-06-25,2024-07-18,151.645785,153.5858837950461,1130.0,0.0,0.010770057950233891,Intraday protective stop,153.6627151526224,intraday
AVGO,2024-08-16,2024-09-06,164.552235,143.17837500000002,1056.0,0.0,-0.13162951374875353,Intraday protective stop,144.165441420133,gap_open
CEG,2024-09-20,2024-10-30,235.27757999999997,266.74656,751.0,0.0,0.13148732590738077,Leader rotation,,
NVDA,2024-10-30,2024-11-08,139.60977,148.69561500000003,1205.0,0.0,0.06295226232473494,Leader rotation,,
TSLA,2024-11-08,2024-11-19,299.28956999999997,335.59212,607.0,0.0,0.11905538931318738,Leader rotation,,
APP,2024-11-19,2024-12-10,295.42763999999994,328.41555422243306,664.0,0.0,0.1094404683628174,Intraday protective stop,328.5798441445053,intraday
TSLA,2024-12-11,2024-12-31,409.90484999999995,411.3191326680688,530.0,0.0,0.001445374991736692,Intraday protective stop,411.5248951156266,intraday
MRVL,2025-01-23,2025-01-24,123.42168,126.61666000000001,1708.0,0.0,0.023836976294113743,Leader rotation,,
PLTR,2025-01-24,2025-02-05,79.089525,101.72911,2726.0,0.0,0.2836827005215301,Leader rotation,,
APP,2025-02-05,2025-02-24,377.55868499999997,400.57199750612705,701.0,0.0,0.05883315557889035,Intraday protective stop,400.772383697976,intraday
APP,2025-02-25,2025-02-25,406.90335,400.57199750612705,668.0,0.0,-0.017526757017934935,Intraday protective stop,400.772383697976,intraday
PLTR,2025-04-28,2025-08-19,113.83689,166.71742480729455,2400.0,0.0,0.46160285175945925,Intraday protective stop,166.80082521990448,intraday
IDXX,2025-08-20,2025-09-10,638.13891,652.583545,573.0,0.0,0.02059233744769906,Leader rotation,,
AVGO,2025-09-10,2025-09-15,351.69575999999995,359.690065,1113.0,0.0,0.020687322279542508,Leader rotation,,
WBD,2025-09-15,2025-10-01,18.774382499999998,19.520235000000003,19861.0,0.0,0.03764976192791081,Leader rotation,,
PLTR,2025-10-01,2025-10-09,181.41065999999998,183.48821,2124.0,0.0,0.009431310099473844,Leader rotation,,
AMD,2025-10-09,2025-10-29,236.41815,264.057905,1656.0,0.0,0.1146788720672327,Leader rotation,,
MU,2025-10-29,2025-11-20,229.17452999999998,213.28804849711256,1877.0,0.0,-0.07117994940334149,Intraday protective stop,213.39474587004756,intraday
WDC,2026-01-28,2026-03-30,263.58172499999995,251.20185646354292,1587.0,198.375,-0.04839825379660845,Intraday protective stop,251.32752022365474,intraday
WDC,2026-04-09,2026-05-11,344.05194,488.785485,1138.0,0.0,0.4178350240500772,Leader rotation,,
MU,2026-05-11,2026-05-18,793.37649,674.03283149175,670.0,0.0,-0.15212245254745238,Intraday protective stop,674.3700165,intraday
LITE,2026-05-19,2026-06-09,873.6065849999999,786.9865796483199,505.0,0.0,-0.10095208486806218,Intraday protective stop,787.3802697832115,intraday
