trade_no,symbol,entry_time,exit_time,entry_price,exit_price,quantity,entry_value,exit_value,pnl_value,pnl_pct,exit_reason,pnl_pct_display
39,GILD,2014-11-03,2014-11-24,112.59077255249022,100.85722560882569,119,13465.293443415067,11941.999798213006,-1523.2936452020604,-0.1131274005726921,Supertrend down,-11.31%
40,VRTX,2014-11-24,2015-02-06,111.82887805938721,106.85220273971558,106,11913.130379666518,11269.701822957803,-643.4285567087154,-0.05401003230913404,Supertrend down,-5.40%
41,MNST,2015-02-13,2015-04-23,19.984836964607236,23.27499873161316,567,11388.059571726963,13130.93965942054,1742.8800876935766,0.15304451796341234,Leader rotation,+15.30%
42,EA,2015-04-23,2015-07-17,59.909398317337036,72.76762195587159,218,13125.55007734537,15784.024878448106,2658.474801102737,0.2025419723696953,Leader rotation,+20.25%
43,NFLX,2015-07-17,2015-08-28,11.763335206508636,11.605912728309631,1337,15806.217066957555,15439.519791161227,-366.69727579632854,-0.02319955965699716,Supertrend down,-2.32%
44,AMZN,2015-08-28,2015-10-06,25.939687499999998,27.20681211948395,592,15433.076474999996,16025.900610860825,592.8241358608284,0.038412570353107744,Supertrend down,+3.84%
45,AMZN,2015-10-16,2015-11-05,28.3341589641571,32.27411204338074,563,16031.892154304549,18079.47345502124,2047.5813007166926,0.12771925366070525,Leader rotation,+12.77%
46,NFLX,2015-11-05,2015-12-11,11.403437499999999,12.114637956619264,1558,17855.388403124995,18780.232906730747,924.8445036057528,0.05179638116658891,Leader rotation,+5.18%
47,NVDA,2015-12-11,2016-01-13,0.8182906512916087,0.7583493474125863,23112,19006.895200314917,17439.335266812697,-1567.5599335022198,-0.0824732244262728,Supertrend down,-8.25%
48,NVDA,2016-03-02,2017-01-10,0.8162856173515319,2.688511909246445,21141,17343.37970761088,56553.641122012195,39210.26141440132,2.2608200982415494,Supertrend down,+226.08%
49,MU,2017-01-10,2017-01-30,22.41590061187744,23.76044969558716,2504,56410.06220780181,59198.685207561495,2788.622999759682,0.04943485063865083,Leader rotation,+4.94%
50,STX,2017-01-30,2017-02-03,44.5110015296936,45.19672636985779,1328,59406.16308159026,59721.146356075296,314.9832744850355,0.00530219859600134,Leader rotation,+0.53%
51,NVDA,2017-02-03,2017-02-21,2.8934656441211697,2.6989856135845187,20541,59731.8511848724,55162.6641711964,-4569.187013676004,-0.07649498421761936,Supertrend down,-7.65%
52,MU,2017-02-21,2017-03-21,23.67905084133148,26.234249238967898,2318,55162.4800494574,60506.93478724795,5344.454737790547,0.09688568630342287,Leader rotation,+9.69%
53,INCY,2017-03-21,2017-04-07,148.73090061187744,139.13129573822022,403,60238.24571131954,55789.56262159023,-4448.683089729311,-0.07385147155594118,Supertrend down,-7.39%
54,WDC,2017-04-07,2017-04-25,63.6962580871582,65.59523683547974,850,54412.52847095489,55477.17155360699,1064.6430826521027,0.019566138765641172,Leader rotation,+1.96%
55,CSX,2017-04-25,2017-05-12,16.771824541091917,17.313274898529055,3347,56415.973222729815,57657.79342994987,1241.820207220051,0.022011854733363423,Leader rotation,+2.20%
