trade_no,symbol,entry_time,exit_time,entry_price,exit_price,quantity,entry_value,exit_value,pnl_value,pnl_pct,exit_reason,entry_delay_bars,exit_delay_bars,entry_price_penalty,exit_price_penalty,pnl_pct_display
54,WDC,2017-04-10,2017-04-26,64.58253758239746,63.83805630683899,1438,92962.55873253103,91707.32584426524,-1255.2328882657894,-0.0135025638857178,Leader rotation,1,0,0.0,0.0,-1.35%
55,CSX,2017-04-27,2017-05-12,16.938465305328368,17.347988231658938,5477,92864.74645176074,94919.91661325122,2055.170161490474,0.02213078956240988,Leader rotation,1,0,0.0,0.0,+2.21%
56,NVDA,2017-05-15,2017-07-11,3.240619582056999,3.844326932191849,29262,94921.83722036205,112380.20199510809,17458.364774746035,0.18392358687934207,Supertrend down,1,0,0.0,0.0,+18.39%
57,NVDA,2017-07-19,2017-07-24,4.160328979969025,4.207645300388337,26985,112378.74400198858,113429.76512254828,1051.0211205597006,0.009352490365447608,Leader rotation,1,0,0.0,0.0,+0.94%
58,VRTX,2017-07-25,2017-11-01,167.02347244262694,147.27633110046386,678,113355.15623041715,99753.49913362839,-13601.657096788767,-0.11999151647888573,Supertrend down,1,0,0.0,0.0,-12.00%
59,NVDA,2017-11-02,2017-12-06,5.1525750954151155,4.640178673744202,19133,98682.80351987797,88691.75802618307,-9991.045493694895,-0.10124403783970704,Supertrend down,1,0,0.0,0.0,-10.12%
60,DLTR,2017-12-20,2018-01-08,109.68481225204467,110.70462213516235,818,89811.8985985947,90465.82452565624,653.9259270615439,0.007281061165227198,Leader rotation,1,0,0.0,0.0,+0.73%
61,TTWO,2018-01-09,2018-01-29,117.82888164138794,118.9405,767,90465.12697116348,91136.1361365,671.0091653365234,0.007417324087218846,Leader rotation,1,0,0.0,0.0,+0.74%
62,ALGN,2018-01-30,2018-02-12,270.58523721313475,233.133375,321,86944.71900656166,74760.977561625,-12183.741444936662,-0.1401320469391265,Supertrend down,1,0,0.0,0.0,-14.01%
63,NVDA,2018-02-20,2018-03-13,6.121809470415115,6.2841064169406895,12797,78419.13658869511,80337.29210777242,1918.155519077307,0.02446029888263057,Leader rotation,1,0,0.0,0.0,+2.45%
64,MU,2018-03-14,2018-04-02,59.34965969467163,51.51423091506958,1351,80261.57163774887,69526.13024029275,-10735.441397456118,-0.1337556838023215,Supertrend down,1,0,0.0,0.0,-13.38%
65,NFLX,2018-05-14,2018-07-24,32.741360973358155,36.675653244018555,2125,69644.96746045446,77857.82738039589,8212.859919941431,0.1179246716513267,Supertrend down,1,0,0.0,0.0,+11.79%
66,ALGN,2018-07-25,2018-08-30,374.87734744262696,382.88844657897954,204,76551.45385717419,78031.13385900971,1479.680001835528,0.019329221422707876,Leader rotation,1,0,0.0,0.0,+1.93%
67,AMZN,2018-08-31,2018-09-05,100.40017347335815,101.85454956817628,794,79797.45547558421,80791.63984477484,994.1843691906251,0.012458848007939505,Leader rotation,1,0,0.0,0.0,+1.25%
68,ILMN,2018-09-06,2018-10-11,339.7709663543701,296.3109073944092,235,79926.02327037023,69563.43017444847,-10362.593095921766,-0.12965230436734776,Supertrend down,1,0,0.0,0.0,-12.97%
69,ILMN,2018-12-06,2018-12-13,318.73906283569335,330.0100223083496,206,65725.90719109697,67914.0825309245,2188.1753398275323,0.033292432669897565,Leader rotation,1,0,0.0,0.0,+3.33%
70,ESRX,2018-12-14,2026-07-17,99.91993774795532,92.28383683013917,726,72614.41667982057,66931.06747314236,-5683.3492066782055,-0.07826750480882949,FinalClose,1,0,0.0,0.0,-7.83%
