label,start,end,initial_equity,final_equity,total_return,total_return_display,qqq_return,qqq_return_display,alpha,alpha_display,cagr,cagr_display,mdd,mdd_display,sharpe,sharpe_display,calmar,calmar_display,win_rate,win_rate_display,payoff_ratio,payoff_display,trade_count,rank,objective,objective_value,param_entry,param_market_filter,param_asset_filter,param_rs_method,param_rs_period,param_sell_confirm_bars,param_hurdle,param_max_positions,param_st_period,param_st_multiplier
parameter_stability,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,9627258.388355836,961.7258388355837,+96172.58%,12.682212146110261,+1268.22%,949.0436266894734,+94904.36%,0.5470960440783963,+54.71%,-0.5586962091162317,-55.87%,1.1677167162931574,1.17,0.9792370793849039,0.98,0.6993006993006993,+69.93%,1.4389508946475045,1.44,143,1,total_return,961.7258388355837,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,5,2.0,1,10,3.0
parameter_stability,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,9588304.471736068,957.8304471736068,+95783.04%,12.682212146110261,+1268.22%,945.1482350274965,+94514.82%,0.546697650488136,+54.67%,-0.5202062357369605,-52.02%,1.182022718478779,1.18,1.0509248312136166,1.05,0.7050359712230215,+70.50%,1.4415743868235174,1.44,139,2,total_return,957.8304471736068,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,5,2.5,1,10,3.0
parameter_stability,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,9022391.26271342,901.2391262713419,+90123.91%,12.682212146110261,+1268.22%,888.5569141252316,+88855.69%,0.5407322435366093,+54.07%,-0.5590194350649826,-55.90%,1.1740725787873232,1.17,0.9672870201261472,0.97,0.7050359712230215,+70.50%,1.4273253624709104,1.43,139,3,total_return,901.2391262713419,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,5,3.0,1,10,3.0
parameter_stability,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,8901864.931330763,889.1864931330763,+88918.65%,12.682212146110261,+1268.22%,876.504280986966,+87650.43%,0.5394165904277424,+53.94%,-0.5237434992081096,-52.37%,1.1650059208714496,1.17,1.029925127936347,1.03,0.678082191780822,+67.81%,1.5611029687234574,1.56,146,4,total_return,889.1864931330763,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,4,2.0,1,10,3.0
parameter_stability,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,8878985.02318094,886.898502318094,+88689.85%,12.682212146110261,+1268.22%,874.2162901719837,+87421.63%,0.5391649531144684,+53.92%,-0.5250586359835019,-52.51%,1.1659797617350327,1.17,1.0268661748692955,1.03,0.6797385620915033,+67.97%,1.5410472532766286,1.54,153,5,total_return,886.898502318094,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,4,1.5,1,10,3.0
parameter_stability,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,8290499.804764372,828.0499804764372,+82805.00%,12.682212146110261,+1268.22%,815.367768330327,+81536.78%,0.5324747329316664,+53.25%,-0.5600318578131119,-56.00%,1.1486279530648311,1.15,0.950793647723802,0.95,0.695364238410596,+69.54%,1.422959206041299,1.42,151,6,total_return,828.0499804764372,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,5,1.5,1,10,3.0
parameter_stability,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,7650484.550078378,764.0484550078378,+76404.85%,12.682212146110261,+1268.22%,751.3662428617275,+75136.62%,0.5246737975100273,+52.47%,-0.4966644564039341,-49.67%,1.158883173918525,1.16,1.056394897490537,1.06,0.6830985915492958,+68.31%,1.541997600110529,1.54,142,7,total_return,764.0484550078378,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,4,2.5,1,10,3.0
parameter_stability,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,7409638.095109918,739.9638095109918,+73996.38%,12.682212146110261,+1268.22%,727.2815973648816,+72728.16%,0.5215789664646784,+52.16%,-0.52404735097034,-52.40%,1.1551857429149341,1.16,0.9952897681839415,1.00,0.6901408450704225,+69.01%,1.4906743048162092,1.49,142,8,total_return,739.9638095109918,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,4,3.0,1,10,3.0
parameter_stability,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,7000267.173162995,699.0267173162995,+69902.67%,12.682212146110261,+1268.22%,686.3445051701892,+68634.45%,0.5160957433815974,+51.61%,-0.5270460221274755,-52.70%,1.1317081081445337,1.13,0.9792232968542742,0.98,0.6934306569343066,+69.34%,1.4511894930632903,1.45,137,9,total_return,699.0267173162995,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,6,2.5,1,10,3.0
parameter_stability,2010-10-19 00:00:00,2026-07-17 00:00:00,10000.0,6848000.580093736,683.8000580093736,+68380.01%,12.682212146110261,+1268.22%,671.1178458632634,+67111.78%,0.5139793208419989,+51.40%,-0.5588701467345085,-55.89%,1.1161893686706257,1.12,0.919675749089824,0.92,0.6824324324324325,+68.24%,1.489860073728674,1.49,148,10,total_return,683.8000580093736,single,1d,ichimoku_cloud+ema_trend,dual_momentum,150,6,1.5,1,10,3.0
