trade_no,symbol,entry_time,exit_time,entry_price,exit_price,quantity,entry_value,exit_value,pnl_value,pnl_pct,exit_reason,pnl_pct_display,cumulative_pnl_value,realized_equity_after_trade,cumulative_return,cumulative_return_display,holding_days
56,TEAM,2021-10-19,2021-11-05,415.2075,447.1563148803711,697,289689.0271275,311356.28352014703,21667.256392647047,0.0747948812818191,Leader rotation,+7.48%,301370.1652599858,311370.1652599858,30.13701652599858,+3013.70%,17
57,NVDA,2021-11-05,2021-12-20,30.202093774795532,27.291347805023197,10299,311362.4151504058,280792.51745288994,-30569.897697515844,-0.09818107841548196,Supertrend down,-9.82%,270800.26756246993,280800.26756246993,27.080026756246994,+2708.00%,45
58,PANW,2022-03-23,2022-03-30,98.1640553627014,102.22386402511597,2815,276608.14766185044,287472.4170534708,10864.269391620357,0.039276751185586045,Leader rotation,+3.93%,281664.5369540903,291664.5369540903,28.16645369540903,+2816.65%,7
59,TSLA,2022-03-30,2022-04-05,363.9051893005371,378.57727926635744,798,290686.7374028904,301802.5641856987,11115.82678280829,0.038239882844747,Leader rotation,+3.82%,292780.3637368986,302780.3637368986,29.278036373689858,+2927.80%,6
60,DLTR,2022-04-05,2022-05-06,156.24808316802978,160.8995057296753,1935,302642.3809710677,311029.20304333477,8386.822072267067,0.02771198814044773,Supertrend down,+2.77%,301167.18580916565,311167.18580916565,30.116718580916565,+3011.67%,31
61,VRTX,2022-07-21,2022-08-23,285.9329035491943,292.04390744018554,1087,311119.87522413215,317134.27566009416,6014.400435962016,0.019331456827144988,Leader rotation,+1.93%,307181.58624512766,317181.58624512766,30.718158624512768,+3071.82%,33
62,TMUS,2022-08-23,2022-08-26,144.65229183197022,147.0164513397217,2190,317105.3076311268,321644.0624055565,4538.754774429719,0.014313083588337161,Leader rotation,+1.43%,311720.3410195574,321720.3410195574,31.172034101955738,+3117.20%,3
63,CEG,2022-08-26,2022-10-21,82.78136786270142,84.65764694976806,3881,321595.7631638193,328227.77148423786,6632.008320418536,0.020622188100905436,Supertrend down,+2.06%,318352.3493399759,328352.3493399759,31.83523493399759,+3183.52%,56
64,PDD,2022-11-14,2023-01-17,67.62379133605957,94.46274713516236,4850,328303.36336786876,457686.17928193195,129382.81591406319,0.39409531046773916,Leader rotation,+39.41%,447735.1652540391,457735.1652540391,44.77351652540391,+4477.35%,64
65,NFLX,2023-01-17,2023-03-02,33.124555709838866,31.080452671051027,13804,457708.61838563427,428605.5341025172,-29103.08428311709,-0.06358430476088783,Supertrend down,-6.36%,418632.080970922,428632.080970922,41.863208097092205,+4186.32%,44
