param_entry,param_market_filter,param_asset_filter,param_rs_period,param_st_period,param_st_multiplier,param_sell_confirm_bars,param_max_positions,start,end,total_return,qqq_return,alpha,mdd,cagr,calmar,sharpe,sortino,win_rate,payoff_ratio,trade_count,score
triple,none,ichimoku_cloud,100,,,1,6,2010-05-28 00:00:00,2026-07-16 00:00:00,2.1798457055609646,14.464803309684998,-12.284957604124033,-0.4500953893764681,0.07433391366974607,0.16515146660960753,0.4133807821758957,0.5857923508803722,0.5385728061716489,1.0126060601136202,2074,1.832170817525067
triple,none,ichimoku_cloud,100,,,1,7,2010-05-28 00:00:00,2026-07-16 00:00:00,1.4603254883198935,14.464803309684998,-13.004477821365104,-0.4537201073861732,0.05738669797506102,0.12648039405980674,0.355797773982515,0.4992580609285581,0.5290377278507842,1.0289227672294938,2359,1.1080233356304303
triple,none,ichimoku_cloud,100,,,1,8,2010-05-28 00:00:00,2026-07-16 00:00:00,1.2584404752502039,14.464803309684998,-13.206362834434794,-0.44561023718476445,0.05179032527696226,0.11622337405028761,0.33787054900708013,0.4725298777068423,0.5332068311195446,0.9984584338932733,2635,0.9120884019726047
triple,none,ichimoku_cloud,100,,,1,9,2010-05-28 00:00:00,2026-07-16 00:00:00,1.5986794821677255,14.464803309684998,-12.866123827517272,-0.4066392603323882,0.060978307065852055,0.14995676269922437,0.3814003772779967,0.5325994864762839,0.5327329407689643,1.0078434052760048,2887,1.284810085220155
triple,none,ichimoku_cloud,100,,,1,10,2010-05-28 00:00:00,2026-07-16 00:00:00,1.0694883366174692,14.464803309684998,-13.395314973067528,-0.4369672671529352,0.04610984043186761,0.10552241299971221,0.3208293970352854,0.4443190156403483,0.5260300223570744,1.0169402506868745,3131,0.7295394048061796
triple,none,ema_trend,50,,,1,3,2010-10-19 00:00:00,2026-07-16 00:00:00,0.36081516814215164,12.876328444685914,-12.515513276543762,-0.7011075346341702,0.019766245284205564,0.02819288669393542,0.21553389535400763,0.3062440450634056,0.5571687840290381,0.8740493271842901,1102,-0.19360484270456432
triple,none,ema_trend,50,,,1,4,2010-10-19 00:00:00,2026-07-16 00:00:00,0.4492825238182139,12.876328444685914,-12.4270459208677,-0.6919296957428103,0.023855111839455878,0.0344762076063907,0.223277376048035,0.31242895958883143,0.5481171548117155,0.9047093917669872,1434,-0.09756291149459334
triple,none,ema_trend,50,,,1,5,2010-10-19 00:00:00,2026-07-16 00:00:00,0.5813466744441276,12.876328444685914,-12.294981770241787,-0.5920052747824568,0.02954360647418275,0.04990429601330679,0.24210561040570844,0.3421289553549034,0.5418803418803418,0.9492679089728849,1755,0.11500562293033337
triple,none,ema_trend,50,,,1,6,2010-10-19 00:00:00,2026-07-16 00:00:00,1.1217552228546772,12.876328444685914,-11.754573221831237,-0.49438459402645385,0.04895259587710643,0.09901723570796998,0.31897826646599586,0.4504590070075688,0.5464268351968887,0.942689083874208,2057,0.7358168956274941
triple,none,ema_trend,50,,,1,7,2010-10-19 00:00:00,2026-07-16 00:00:00,1.1591388652699433,12.876328444685914,-11.71718957941597,-0.5204500957654817,0.05011721233779176,0.09629590376783197,0.32830598383962845,0.46229987692549074,0.5378755818874312,0.9764164515472016,2363,0.7526279681727467
triple,none,ema_trend,50,,,1,8,2010-10-19 00:00:00,2026-07-16 00:00:00,1.1021324396859216,12.876328444685914,-11.774196004999993,-0.4357820684650142,0.04833357261996518,0.11091225664748877,0.32489200890896036,0.4562645433470149,0.5352649637819291,0.9773503169342661,2623,0.7632535451811789
triple,none,ema_trend,50,,,1,9,2010-10-19 00:00:00,2026-07-16 00:00:00,1.2517737466836283,12.876328444685914,-11.624554698002285,-0.43762684099129356,0.05292364952729245,0.12093328052596607,0.3491158867635686,0.48947088438123215,0.5330535152151101,1.0004207157002183,2859,0.9121457504935004
triple,none,ema_trend,50,,,1,10,2010-10-19 00:00:00,2026-07-16 00:00:00,0.4765914006031913,12.876328444685914,-12.399737044082723,-0.4377387132435191,0.02507013573815664,0.0572719181093079,0.2240536784288306,0.3095715579930127,0.52288,1.004477693504805,3125,0.1331220403612409
triple,none,ema_trend,100,,,1,3,2010-10-19 00:00:00,2026-07-16 00:00:00,1.31794424808862,12.876328444685914,-11.558384196597293,-0.5370293995661711,0.05486288166880904,0.10215992218140936,0.3280746663143157,0.46988647827549435,0.5535872453498671,0.9354501356822768,1129,0.8981629684251126
triple,none,ema_trend,100,,,1,4,2010-10-19 00:00:00,2026-07-16 00:00:00,2.2341344836414283,12.876328444685914,-10.642193961044486,-0.5383987118835987,0.07742327184299835,0.14380285489935793,0.40607341287633253,0.5831326218515563,0.5562330623306233,0.9390843604533603,1476,1.8155977165208395
triple,none,ema_trend,100,,,1,5,2010-10-19 00:00:00,2026-07-16 00:00:00,1.6157821262464465,12.876328444685914,-11.260546318439467,-0.4941564299752418,0.06299541676046072,0.12748071853201812,0.3643773571636301,0.515241746776813,0.554122265844083,0.9333149680646365,1783,1.2313883029811619
triple,none,ema_trend,100,,,1,6,2010-10-19 00:00:00,2026-07-16 00:00:00,2.251291622220147,12.876328444685914,-10.625036822465766,-0.4854694393993386,0.0777855103513363,0.16022740885106734,0.4244131006023736,0.602663901877492,0.5329428989751098,1.0358406308329866,2049,1.8756484637187474
triple,none,ema_trend,100,,,1,7,2010-10-19 00:00:00,2026-07-16 00:00:00,1.548999302689801,12.876328444685914,-11.327329141996113,-0.4943072095308938,0.06125023931024054,0.1239112805341603,0.3697295399785733,0.5182604515508323,0.5296901893287436,1.0230804473385826,2324,1.1646454212644433
triple,none,ema_trend,100,,,1,8,2010-10-19 00:00:00,2026-07-16 00:00:00,0.9257573373754155,12.876328444685914,-11.950571107310498,-0.4570272443496014,0.04251312355102055,0.09302098305216194,0.2980554730211704,0.4140708455180356,0.5312380222307398,1.0078927946386733,2609,0.5690772060863695
triple,none,ema_trend,100,,,1,9,2010-10-19 00:00:00,2026-07-16 00:00:00,1.0803043094952,12.876328444685914,-11.796024135190713,-0.43262438591660035,0.047638589099186834,0.11011535791782763,0.32343143239185174,0.44945148074406005,0.5325174825174825,1.0006709268306593,2860,0.7439077437336753
triple,none,ema_trend,100,,,1,10,2010-10-19 00:00:00,2026-07-16 00:00:00,0.7858800877032965,12.876328444685914,-12.090448356982618,-0.4237896278590211,0.03753051465614754,0.0885593044024016,0.2810394592488545,0.38805663732498596,0.5296379365587952,0.9992690711689126,3121,0.4552795691935453
triple,none,ichimoku_cloud+ema_trend,50,,,1,3,2010-10-19 00:00:00,2026-07-16 00:00:00,0.24358664402532337,12.876328444685914,-12.63274180066059,-0.7069376811473502,0.013946483548981092,0.01972802401245063,0.195238239710432,0.2767486421512569,0.5539170506912442,0.8789969559025458,1085,-0.3161063537012439
triple,none,ichimoku_cloud+ema_trend,50,,,1,4,2010-10-19 00:00:00,2026-07-16 00:00:00,0.13633304296275117,12.876328444685914,-12.739995401723164,-0.7144270989509729,0.008152955864115352,0.011411879359121068,0.16539175537981732,0.2310499614402858,0.5454545454545454,0.8933458649497846,1419,-0.43024688353663265
triple,none,ichimoku_cloud+ema_trend,50,,,1,5,2010-10-19 00:00:00,2026-07-16 00:00:00,0.228106384308584,12.876328444685914,-12.64822206037733,-0.6388712335526032,0.013139881104171414,0.020567338790797984,0.17852956032529743,0.2506396742956763,0.5386852821407795,0.9432622784510818,1719,-0.2776347157237397
triple,none,ichimoku_cloud+ema_trend,50,,,1,6,2010-10-19 00:00:00,2026-07-16 00:00:00,0.6914460842924997,12.876328444685914,-12.184882360393415,-0.5255198361299627,0.03395557038193697,0.0646132991515465,0.2597614403932852,0.3649018155133592,0.5437469105289174,0.9370420375553661,2023,0.2788230586003281
triple,none,ichimoku_cloud+ema_trend,50,,,1,7,2010-10-19 00:00:00,2026-07-16 00:00:00,0.46473689265566054,12.876328444685914,-12.411591552030254,-0.5847980991484348,0.02454531296049889,0.041972285813242256,0.22079444917459637,0.30802375124181613,0.5358686257562663,0.9571178350910778,2314,0.0035222468121505384
triple,none,ichimoku_cloud+ema_trend,50,,,1,8,2010-10-19 00:00:00,2026-07-16 00:00:00,0.6015700734988878,12.876328444685914,-12.274758371187026,-0.4832016342325117,0.030375145621729827,0.06286225763697151,0.24675319777604096,0.34531072529799456,0.5334630350194552,0.9615494356981232,2570,0.22241136204615963
