trade_no,trade_id,symbol,entry_time,exit_time,entry_price,exit_price,quantity,corporate_action_cash,entry_cost,exit_proceeds,pnl_cash,pnl_pct,exit_reason,pnl_pct_display
79,79,AMD,2024-03-06,2024-03-18,211.797795,192.033615,392.0,0.0,83273.80984691999,75051.34554876,-8222.46429815999,-0.09874009983781362,Supertrend down,-9.87%
80,80,CRWD,2024-03-19,2024-04-23,320.21797499999997,290.310635,233.0,0.0,74834.62053952499,67439.450821135,-7395.169718389981,-0.09882016725780174,Supertrend down,-9.88%
81,81,NVDA,2024-05-08,2024-06-26,90.06414631499999,125.31015500000001,740.0,7.4,66847.41067791928,92451.3261559,25611.31547798071,0.3831310026558816,Supertrend down,+38.31%
82,82,ARM,2024-06-27,2024-07-29,163.612614,145.42853,568.0,0.0,93210.76064625599,82355.59482488,-10855.165821375995,-0.11645829028874055,Supertrend down,-11.65%
83,83,AVGO,2024-08-19,2024-09-10,165.93159,140.30207000000001,495.0,0.0,82382.54546115,69241.17607605,-13141.369385099999,-0.15951642804357402,Supertrend down,-15.95%
84,84,CEG,2024-09-23,2024-10-31,261.24714,260.03869000000003,264.0,0.0,69176.15269487999,68444.26351752,-731.8891773599898,-0.010580079244767782,Leader rotation,-1.06%
85,85,NVDA,2024-11-01,2024-11-11,135.57555,147.71358,504.0,0.0,68535.0674316,74224.30138704,5689.23395544001,0.08301201368362299,Leader rotation,+8.30%
86,86,TSLA,2024-11-12,2024-11-26,344.96781,338.7835,214.0,0.0,74044.58067401999,72282.16999299999,-1762.4106810200028,-0.023802021227981363,Leader rotation,-2.38%
87,87,APP,2024-11-27,2024-12-12,327.26850749999994,334.0147,220.0,0.0,72215.06886494998,73262.784298,1047.7154330500198,0.014508266065762054,Supertrend down,+1.45%
88,88,TSLA,2024-12-13,2025-01-03,422.72999999999996,379.00038000000006,173.0,0.0,73351.68686999999,65370.36454278001,-7981.322327219983,-0.10880898133079275,Supertrend down,-10.88%
89,89,MRVL,2025-01-24,2025-01-29,127.50342,103.930035,512.0,0.0,65477.59629312,53052.54138624,-12425.054906879996,-0.18976040066066913,Supertrend down,-18.98%
90,90,PLTR,2025-01-27,2025-02-06,74.55145499999999,100.43291500000001,1.0,0.0,74.77510936499998,100.13161625500001,25.356506890000034,0.3391035747768316,Leader rotation,+33.91%
91,91,APP,2025-02-07,2025-02-27,388.38822,344.18814000000003,136.0,0.0,52979.260313759994,46669.15827888001,-6310.102034879987,-0.1191051365668293,Supertrend down,-11.91%
92,92,PLTR,2025-04-29,2025-08-21,114.72087,156.148395,407.0,0.0,46831.468272269994,63361.739574704996,16530.271302435,0.3529735861863412,Supertrend down,+35.30%
93,93,IDXX,2025-08-22,2025-09-11,639.89244,632.99859,98.0,0.0,62897.58749735999,61847.76023454001,-1049.8272628199848,-0.016691057711300084,Leader rotation,-1.67%
94,94,AVGO,2025-09-12,2025-10-30,365.268915,383.8884,170.0,100.3,62282.00269664999,65065.244915999996,2883.5422193500053,0.046298161499310764,Leader rotation,+4.63%
95,95,MU,2025-10-31,2025-11-24,229.23037499999998,212.02283500000001,283.0,0.0,65066.81271337499,59822.454918085,-5244.357795289987,-0.08059958028667924,Supertrend down,-8.06%
96,96,WDC,2026-01-29,2026-05-12,286.85249999999996,494.61397500000004,208.0,26.0,59844.315959999985,102571.06767960002,42752.75171960003,0.714399538766155,Leader rotation,+71.44%
97,97,MU,2026-05-13,2026-05-28,818.4455399999999,923.7861050000001,125.0,0.0,102612.60957749998,115126.84333562502,12514.233758125032,0.12195610081111363,Leader rotation,+12.20%
98,98,LITE,2026-05-29,2026-07-07,866.2744199999999,694.87377,132.0,0.0,114691.26811031997,91448.16762708,-23243.100483239978,-0.20265797794547669,Supertrend down,-20.27%
